gstopr,gcn,90.086 ± 2.603,89.166 ± 2.896,89.759 ± 2.461,
87.919 ± 4.458,88.761 ± 3.608,88.071 ± 3.532,88.732 ± 3.401,88.824 ± 3.470,89.009 ± 2.798,88.444 ± 3.348,86.993 ± 5.227,
93.0588 88.4314 87.6078 80.8627 89.6340 
93.2026 89.2941 87.9477 83.3072 90.0523 
92.8235 88.4314 86.4052 83.3072 89.3856 
93.0196 89.6863 86.2745 84.4183 90.2614 
92.9542 90.0915 85.6078 84.8366 90.6274 
92.8105 88.9542 87.5817 85.3856 90.3137 
92.6144 89.1765 86.0000 84.2222 90.2092 
92.8889 87.6863 87.0458 78.5752 88.7712 
gstopr,gcn,88.878 ± 4.297,88.102 ± 4.069,88.429 ± 4.134,87.469 ± 4.013,87.576 ± 4.245,87.592 ± 4.032,88.295 ± 4.127,88.418 ± 3.947,88.356 ± 4.014,88.340 ± 3.963,87.299 ± 3.818,
92.8627 86.4314 81.8824 87.0196 89.1503 
92.8627 85.4248 81.8824 87.4771 90.2353 
92.7974 86.5229 81.8431 87.2941 89.5033 
92.9412 87.7255 81.8693 88.4314 90.5098 
92.2614 88.6928 81.8562 88.7974 90.4837 
92.6797 88.2353 81.8954 88.6274 90.3399 
92.5098 88.1961 81.8562 89.1503 89.9869 
92.6013 87.2288 81.8562 86.8889 87.9216 
